name,description,type,interest_rate,credit_limit,free_period,maintenance_price_year,maintenance_price_month,cashback
Карта возможностей ВТБ,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardCredit,14.9%,50000,120,,,
120 дней без %,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardCredit,15.9%,40000,60,,,
120 дней на максимум,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardCredit,16.9%,20000,70,,,
Разумная,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardCredit,17.9%,70000,120,,,
Льготный период,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardCredit,,,115,,,
Кредитная СберКарта,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardCredit,,,170,,,
Карта возможностей ВТБ,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardDebit,,,,2000,,18
120 дней без %,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardDebit,,,,500,,0
120 дней на максимум,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardDebit,,,,300,,
Разумная,"
Указанные условия и ставки действуют для головного офиса банка либо центрального представительства банка в регионе. Информацию о конкретных подразделениях банка, в которых реализована возможность предоставления данного продукта, можно получить в офисах банка или по телефонам его справочной службы.

При использовании кредитной карты «Карта возможностей» с лимитом 10 000 руб. беспроцентный период составит до 110 дней , после чего ежемесячный платеж для погашения кредитной карты в течение 12 месяцев составит от 346 руб., процентная ставка от 14.9% годовых , переплата за период — 2 456 руб. , годовое обслуживание: 0 руб.

Расчет платежа является приблизительным и осуществляется по методике Банки.ру
Формляют заемный продукт в качестве финансовой страховки на случай непредвиденных расходов.",CardDebit,,,,,150,7
